"","id","Condition","Task","ElectrodeSite","ern.l","ern.v","p1.l","p1.v","n1.l","n1.v","p2.l","p2.v","n300.l","n300.v","p3.l","p3.v","n400.l","n400.v","p4.l","p4.v","lpc.l","lpc.v"
"181",111,"incongruent","simon","fz","368","1.832521","118","-2.57055","118","-2.57055","146","2.405729","278","-4.133049","368","1.832521","444","-4.194077","534","-1.611236","752","-0.451685"
"182",111,"incongruent","simon","pz","330","8.839013","104","1.191053","104","1.191053","182","6.615763","234","-1.211233","330","8.839013","438","4.555126","478","5.524137","658","2.001346"
"183",111,"incongruent","simon","cz","372","3.920848","114","-1.677486","114","-1.677486","180","3.642267","236","-4.29613","372","3.920848","434","-1.179508","532","1.272931","760","0.649862"
"184",112,"incongruent","stroop","fz","292","9.340605","132","-1.918855","132","-1.918855","226","14.879288","266","9.719848","292","9.340605","468","-18.751799","494","-15.877696","794","-9.49937"
"185",112,"incongruent","stroop","pz","294","8.70435","132","-2.673124","132","-2.673124","208","8.215712","266","5.338743","294","8.70435","396","-3.791684","478","0.006149","776","-1.752511"
"186",112,"incongruent","stroop","cz","292","9.717957","132","-3.22996","132","-3.22996","208","10.771908","268","7.495017","292","9.717957","468","-8.668416","496","-6.067931","776","-5.227213"
"187",113,"incongruent","stroop","fz","360","-0.817578","94","-4.452742","94","-4.452742","214","16.229006","346","-2.798292","360","-0.817578","474","-11.539997","546","-8.514091","704","-5.539074"
"188",113,"incongruent","stroop","pz","358","4.519699","78","-2.78879","78","-2.78879","212","12.510362","334","1.887316","358","4.519699","474","-6.735052","512","-5.864957","786","-1.136512"
"189",113,"incongruent","stroop","cz","362","1.415055","94","-3.93366","94","-3.93366","214","15.333328","334","-0.81134","362","1.415055","474","-9.888103","546","-7.792963","704","-4.105238"
"190",113,"incongruent","simon","fz","346","9.433536","100","-6.715451","100","-6.715451","206","5.619806","252","0.552132","346","9.433536","420","1.218895","504","4.622226","790","2.232337"
"191",113,"incongruent","simon","pz","326","9.892922","78","-3.522923","78","-3.522923","192","1.801038","252","-0.223357","326","9.892922","444","0.53008","534","3.296694","782","3.533789"
"192",113,"incongruent","simon","cz","346","9.91764","100","-6.138976","100","-6.138976","206","4.392181","260","0.678525","346","9.91764","444","2.391248","504","4.647311","788","3.118492"
"193",115,"incongruent","stroop","fz","266","6.577522","82","-1.253258","82","-1.253258","234","10.680504","258","5.716841","266","6.577522","458","-12.424481","550","-8.383365","724","-9.703677"
"194",115,"incongruent","stroop","pz","292","4.375172","136","-1.976112","136","-1.976112","192","3.480868","256","0.884673","292","4.375172","460","-4.092629","510","1.866713","794","-1.421662"
"195",115,"incongruent","stroop","cz","268","6.068024","136","-1.845205","136","-1.845205","234","8.831487","258","5.107242","268","6.068024","458","-6.794738","524","-1.923602","724","-4.313663"
"196",115,"incongruent","simon","fz","390","-0.462962","82","-0.893709","82","-0.893709","160","0.272689","264","-4.185392","390","-0.462962","520","-5.751081","562","-3.41758","772","-3.351602"
"197",115,"incongruent","simon","pz","374","2.099948","148","-2.23642","148","-2.23642","176","-0.14141","248","-1.818704","374","2.099948","482","-0.874967","542","1.414343","674","0.567801"
"198",115,"incongruent","simon","cz","410","3.306342","140","-1.103194","140","-1.103194","210","1.686345","260","-1.063671","410","3.306342","484","-1.404926","560","-0.634079","680","-1.005122"
"199",116,"incongruent","stroop","fz","388","1.079449","106","-2.984231","106","-2.984231","242","3.705015","326","-3.517913","388","1.079449","458","-4.832167","520","-1.288377","676","-0.721958"
