"","id","mus_code","Task","Condition","ElectrodeSite","max_p3","min_p3","beta","r2"
"90",105,"nm","simon","ic","pz",6.28926164563924,-2.77011549807503,0.096754793915638,0.785411934903894
"91",106,"nm","simon","ic","pz",6.93,1.17819586340228,0.146106878398874,0.680150678322053
"92",108,"mus","simon","ic","pz",1.58227847869202,-2.88558245695905,0.0187461429691787,0.099094100189208
"93",109,"nm","simon","ic","pz",-0.308909301511642,-2.53134492758454,0.0201798889897964,0.313753745525649
"94",110,"mus","simon","ic","pz",5.026,-1.32022442959284,0.0973642531974569,0.821147994973812
"95",111,"mus","simon","ic","pz",9.032,-0.762739687671872,0.242657960433616,0.923596273824243
"96",113,"nm","simon","ic","pz",9.45,-0.589197680038666,0.327787136454317,0.975609281545591
"97",115,"nm","simon","ic","pz",2.21303441609306,-1.53686981883635,0.0549683234441104,0.841250296320282
"98",116,"nm","simon","ic","pz",9.04037032716121,2.59005983233613,0.0807291588064411,0.976073351609093
"99",117,"mus","simon","ic","pz",1.47783181946968,0.209895585073582,0.0203740602681971,0.283669850447441
"100",118,"mus","simon","ic","pz",4.531,-1.84491693471775,0.064127596683542,0.607610091532173
"101",120,"nm","simon","ic","pz",9.684,-0.981457042382627,0.137236414175123,0.893886484897485
"102",121,"nm","simon","ic","pz",8.57692155130748,-3.61475985400243,0.169135947362652,0.888678896920407
"103",122,"mus","simon","ic","pz",9.947,3.30384098598357,0.0780062575171915,0.891895581789045
"104",123,"mus","simon","ic","pz",15.645,-2.14776195396743,0.180516844197517,0.631452115640889
"105",124,"mus","simon","ic","pz",5.68,1.02001633306112,0.187942681215793,0.988289229574045
"106",126,"mus","simon","ic","pz",6.21766545557574,-0.0332850285828568,0.0680177740592347,0.618856261123154
"107",128,"nm","simon","ic","pz",6.084,-4.81226239562674,0.161619574197573,0.98262558716427
"108",129,"nm","simon","ic","pz",5.428,-2.67677358710688,0.112404212700693,0.911802574617653
"109",131,"nm","simon","ic","pz",10.9237799370011,0.0317940034332769,0.235074639573833,0.927316297567477
"110",132,"mus","simon","ic","pz",9.631,1.12279537007717,0.123172076894395,0.906023259201679
"111",103,"mus","simon","c","pz",9.76332576123731,-2.06645674238763,0.190883204216156,0.972023326220906
"112",105,"nm","simon","c","pz",8.65427144547591,-1.171400659989,0.142972123559845,0.910683236201364
"113",106,"nm","simon","c","pz",6.771,1.15454910751487,0.0727084430313258,0.675441441356621
"114",108,"mus","simon","c","pz",3.66055070748821,-3.45807734871085,0.0742172274449434,0.886624743652056
"115",109,"nm","simon","c","pz",1.29175562073965,-1.65061803969934,0.0429548786633607,0.77645651152751
"116",110,"mus","simon","c","pz",9.058,-0.276717288045199,0.184235230254647,0.955782593732474
"117",111,"mus","simon","c","pz",11,-3.84388593523441,0.332051091665479,0.941666974487999
"118",113,"nm","simon","c","pz",11.645,0.499368093865101,0.202234497748019,0.900210283588331
"119",115,"nm","simon","c","pz",2.706,-1.14646799220013,0.0609715020699319,0.966119376557804
"120",116,"nm","simon","c","pz",12.736,4.37325724571257,0.0958439002812919,0.940815933712739
"121",117,"mus","simon","c","pz",0.897072548790853,-0.356657555707405,0.0108908784412836,0.291209081627424
"122",118,"mus","simon","c","pz",2.13765697238379,-2.14998076698722,0.0481231492147942,0.54194056453827
"123",120,"nm","simon","c","pz",12.026,0.020243429276179,0.173716470806674,0.871822003749861
"124",121,"nm","simon","c","pz",12.665,-4.73557565707238,0.335696136661428,0.974544130509031
"125",122,"mus","simon","c","pz",10.51,2.93101498308361,0.104464958137922,0.964327508426586
"126",123,"mus","simon","c","pz",17.853,-2.16821071315478,0.263248293297676,0.847979206575932
"127",124,"mus","simon","c","pz",6.019,0.907750387493542,0.150484217254388,0.944469502635387
"128",126,"mus","simon","c","pz",7.949,-0.488457909034849,0.160953215167008,0.894497560871396
"129",128,"nm","simon","c","pz",5.823,-5.69004371593807,0.179538759851723,0.910004937555244
"130",129,"nm","simon","c","pz",7.111,-0.753397893368444,0.125346239605044,0.975156349994009
"131",131,"nm","simon","c","pz",13.138,0.631708304861585,0.230716867948524,0.969575992922019
"132",132,"mus","simon","c","pz",13.313,0.503888651855802,0.195076365093532,0.952392050258486
"133",103,"mus","stroop","c","cz",6.68722331294478,3.25789086848552,0.0569637724893138,0.633259514797387
"134",104,"nm","stroop","c","cz",8.302,0.483860168997182,0.158329269121432,0.965117409904202
"135",105,"nm","stroop","c","cz",1.97727829536174,-2.21135689405177,0.128733002098049,0.9610259875013
"136",106,"nm","stroop","c","cz",4.22751475808736,1.9986866718888,0.0218092501266522,0.345480891268072
"137",108,"mus","stroop","c","cz",-3.47067438876019,-3.42992686788554,0.0148656953278421,0.091124437139664
"138",109,"nm","stroop","c","cz",-6.79977697038383,-7.83659809003183,0.0478736908877605,0.669682447439933
"139",110,"mus","stroop","c","cz",4.21324239596007,1.90156735721071,0.0913144361053382,0.949200863979088
"140",111,"mus","stroop","c","cz",2.8968970517158,-1.88913784770254,0.191949935243015,0.966861151905339
"141",112,"mus","stroop","c","cz",8.05251334144431,7.02729782836953,0.0186870091991974,0.0575305365500202
"142",113,"nm","stroop","c","cz",2.06821632972784,5.00835292745121,-0.336362073965434,0.965490246119874
"143",115,"nm","stroop","c","cz",6.06318718021366,5.78025616239729,-0.00979853933158936,0.173414094424785
"144",116,"nm","stroop","c","cz",4.16450137497708,2.66858927351211,0.0475402535611965,0.738694428258938
"145",117,"mus","stroop","c","cz",7.72741649305845,2.8645282078632,0.0896910184180912,0.78008895026971
"146",121,"nm","stroop","c","cz",5.90799401676639,-1.79995578407027,0.11497180450136,0.814049031374211
"147",122,"mus","stroop","c","cz",8.55043209279845,8.57814483091948,-0.0103847127384824,0.129723657032617
"148",123,"mus","stroop","c","cz",-0.634120681321978,-4.33822744620923,0.211108845155611,0.974201120788835
"149",124,"mus","stroop","c","cz",3.41959915668072,0.00192691788470238,0.0603361605829542,0.793005391984662
"150",126,"mus","stroop","c","cz",2.19533184446926,1.67679988666856,0.0220472218556117,0.289514494764256
"151",128,"nm","stroop","c","cz",4.122,-1.72399776670389,0.109204128625002,0.969705030632993
"152",129,"nm","stroop","c","cz",6.54688121864636,-4.50667655539074,0.200704158074244,0.960924229296096
"153",130,"nm","stroop","c","cz",5.454,2.45871312144798,0.0519382830532522,0.855774111343447
"154",131,"nm","stroop","c","cz",11.7400472992117,5.437602939951,0.200902186183076,0.951842399749915
"155",132,"mus","stroop","c","cz",4.468,1.55387003549941,0.0938861427384618,0.972451330720077
"156",103,"mus","stroop","ic","cz",6.82795745070915,0.945052832452793,0.153930163475208,0.972871555602207
"157",104,"nm","stroop","ic","cz",8.066,-0.887648505858237,0.154828531695218,0.89563836994294
"158",105,"nm","stroop","ic","cz",1.05404398260029,-3.53887446875885,0.0817720718684908,0.886725752337969
"159",106,"nm","stroop","ic","cz",2.34123509608173,2.67495640072665,0.000277661651217356,1.57835752242142e-05
"160",108,"mus","stroop","ic","cz",-4.46436532724455,-3.31250452492458,-0.110061247214507,0.791714069101469
"161",109,"nm","stroop","ic","cz",-6.6829393676772,-7.38487433542774,0.0114990559214302,0.259229788231675
"162",110,"mus","stroop","ic","cz",4.465,1.35770945484242,0.0607569135122811,0.879938393822738
"163",111,"mus","stroop","ic","cz",2.10210449825836,-1.48211803136614,0.131940067557578,0.806220272836234
"164",112,"mus","stroop","ic","cz",9.1892543457609,7.22262578957017,-0.0135310569306975,0.0773589521046831
"165",113,"nm","stroop","ic","cz",3.67824469592173,4.83200146664222,-0.124011135944937,0.76143147603188
"166",115,"nm","stroop","ic","cz",4.72755850735821,5.19470612156464,-0.0410584507808061,0.741147859009418
"167",116,"nm","stroop","ic","cz",4.64170447159214,2.26110874818753,0.0582792989304519,0.677791265461213
